data_kingston_50/ca/154992/9160041/885042479.html,Quality Inn &amp; Suites,"""Great room, great service, standard hotel breakfast. Decent coffee. However don't count on the internet, couldn't enter my virtual meetings even without video. Let alone stream a tv show or YouTube. Other then that it was a safe, clean and good choice. ",3,negative,"April 6, 2023",1530 Robinson Crt,"('Kingston',)",Ontario,K7P 0K4
data_kingston_50/ca/154992/9160041/869263404.html,Quality Inn &amp; Suites,"""This hotel is exceptionally clean and well maintained. The staff is incredibly friendly and helpful. A big thank you to Emma for making our trip incredible! The room was very spacious with the most comfortable bed. I would highly recommend Quality Inn for a superb stay.",5,positive,"November 21, 2022",1530 Robinson Crt,"('Kingston',)",Ontario,K7P 0K4
data_kingston_50/ca/154992/9160041/857888766.html,Quality Inn &amp; Suites,"""We were travelling and needed a room for one night. The carpet was filthy.  The bed was damp.  As were the sheets and pillows.  And the price ridiculous.   160 bucks for a  night.  Good place to stay away from.",1,negative,"September 1, 2022",1530 Robinson Crt,"('Kingston',)",Ontario,K7P 0K4
data_kingston_50/ca/154992/9160041/886311292.html,Quality Inn &amp; Suites,"""No nonsense hotel to stay at on the way to Ottawa. Room is renovated, shower is nice, breakfast is good. Staff is friendly. It's all you want for this type of hotel. I would stay here again if I needed a hotel for the same type of thing.",5,positive,"April 15, 2023",1530 Robinson Crt,"('Kingston',)",Ontario,K7P 0K4
data_kingston_50/ca/154992/9160041/901743337.html,Quality Inn &amp; Suites,"""Stayed on the main floor and it was extremely noisy, lots of hall noise, but worst was the parking construction going on right outside our window. Dump Trucks (paving?) kept backing up with their backup beeper, honking their very loud horns, etc. So much for afternoon nap before our event.\nWish we had been warned of the construction,  (especially since i asked for a quiet room) \nThe room was clean, with plenty of towels, toiletries and coffee. \nThe beds were comically soft, to the point of being hard to get out of, so if you have a bad back, this is not the place for you. \nStaff were friendly, breakfast looked good but we just had coffee. \nLots of on site parking. ",3,negative,"July 9, 2023",1530 Robinson Crt,"('Kingston',)",Ontario,K7P 0K4
data_kingston_50/ca/154992/9160041/881836061.html,Quality Inn &amp; Suites,"""This hotel is conveniently located, super dog friendly, and very clean.  There's 24-hour coffee in the lobby, a small fitness center, and a great free breakfast in the morning. The best part, by far, is the staff.  Aarti at the front desk is an absolute gem! She helped us through a late check-in with a smile even though it happened to be a very busy moment in the lobby. She was super informative, and we were thrilled to see her back the next night, just as capably handling another busy check-in time as we returned to our room after a long day of fun in Kingston. She certainly deserves a huge bonus when holiday time rolls around for her smooth and cheerful managing of so many people and activities going on at one time.  While this hotel is basically the same as many other hotels, the staff here made our stay stand out! Thank you Aarti and the rest of the staff for everything.",5,positive,"March 11, 2023",1530 Robinson Crt,"('Kingston',)",Ontario,K7P 0K4
data_kingston_50/ca/154992/9160041/915058656.html,Quality Inn &amp; Suites,"""\nI had an awesome experience at this hotel especially the front desk staff and cleanliness . Housekeeping did an excellent job, and I got upgraded to a spacious suite. I would definitely choose this hotel again. Keep up the good work",5,positive,"September 5, 2023",1530 Robinson Crt,"('Kingston',)",Ontario,K7P 0K4
data_kingston_50/ca/154992/9160041/893362735.html,Quality Inn &amp; Suites,"""What a Great experience. Comfy bed, clean room, super friendly staff!! Would definitely stay again! Really enjoyed our stay!!! My mother in law absolutely loved the coffee in the room! Had a great time! ",5,positive,"June 4, 2023",1530 Robinson Crt,"('Kingston',)",Ontario,K7P 0K4
data_kingston_50/ca/154992/9160041/852565348.html,Quality Inn &amp; Suites,"""Spent one night here and had many issues upon check in. For starters, the air conditioner did not work during a HEAT WARNING. The bathroom door did not close. This was uncomfortable as I stayed with friends. The shower had no hot water and no water pressure, it was also dirty. Breakfast was bland with minimal options. No labels or indications for dietary restrictions.",2,negative,"August 7, 2022",1530 Robinson Crt,"('Kingston',)",Ontario,K7P 0K4
data_kingston_50/ca/154992/9160041/912912482.html,Quality Inn &amp; Suites,"""The hotel was very clean and new. Front desk staff was friendly and helpful. Our room was clean as well.  The location of the hotel was great. 5 min from the 401. The breakfast was good. The only critique is that the breakfast time should be a bit longer. Closes too early at 9 am",5,positive,"August 25, 2023",1530 Robinson Crt,"('Kingston',)",Ontario,K7P 0K4
